K,N,stage,time_ms,gflops,speedup,instructions,cycles,ipc,branches,branch_misses,branch_miss_rate_pct,branch_mpki,l1_loads,l1_misses,l1_miss_rate_pct,l1_mpki
21,512,unroll,29.149,7.93,3.2569899481971936,216165311,73116259,2.9564602176924835,18142754,53088,0.2926126871366938,0.24558982083855257,133255297,75303,0.056510323938567336,0.34835839132394375
21,512,tile,94.714,2.44,1.0023650146757608,773085701,218228854,3.5425457579500463,124416482,282888,0.22737180432412485,0.36592062126369607,234786279,82430,0.035108525230301044,0.10662465997414691
21,512,simd,21.933,10.54,4.328546026535358,99900230,56999376,1.752654800992909,18105888,52675,0.2909274596197657,0.5272760633283827,32058951,54734,0.17072922941240343,0.5478866264872463
21,512,optimized,6.282,36.8,15.112702960840497,45317016,22668771,1.9990945252391494,4802044,35322,0.7355617732782124,0.779442318090847,19379071,65740,0.3392319477027562,1.4506692144072328
21,1024,naive,379.08,2.44,1.0,3060544056,866282358,3.532963620621257,495934292,1222749,0.24655463833099892,0.3995201433558452,935651542,201808,0.021568713451658054,0.06593860317232433
21,1024,reorder,226.277,4.09,1.6752917883832648,3318959838,529236847,6.271218371913549,473201663,501214,0.10591974610199119,0.1510153856824103,935871954,382134,0.04083186790315975,0.11513667493797496
21,1024,unroll,117.969,7.84,3.2133865676576048,855168853,285609940,2.9941844916181837,70899117,159584,0.22508601905436987,0.1866110995976604,530672324,154984,0.02920521628710375,0.18123204494212328
21,1024,tile,379.335,2.44,0.9993277709676144,3082962588,865502116,3.562050896245296,496009278,1081025,0.21794451191697264,0.3506448648477728,936817019,277520,0.029623714596500084,0.09001731032358541
21,1024,simd,128.08,7.22,2.959712679575265,389940855,220453947,1.7688086800278517,70722152,157483,0.22267846148120604,0.403863811602916,125834129,129008,0.10252226564066733,0.3308399167355778
21,1024,optimized,38.184,24.22,9.92771841609051,171586678,85106303,2.0161453611726032,17496420,71392,0.40803775858146984,0.4160695971979829,75102394,828617,1.1033163603280078,4.829145302294389
21,2048,naive,1514.396,2.44,1.0,12235156259,3460832232,3.5353219800340785,1982451481,4535444,0.22877957132712295,0.3706895035904257,3740329880,717760,0.0191897512526355,0.05866373790461617
21,2048,reorder,897.813,4.12,1.6867610515775557,13255969088,2099292414,6.31449387402969,1890251417,1001558,0.05298543839155339,0.07555524559171331,3740021061,1095657,0.029295476740097425,0.08265385900694702
21,2048,unroll,476.201,7.77,3.1801613184348625,3412348263,1149893886,2.9675331824488023,282054461,833830,0.2956273044020389,0.24435665287778394,2120131416,579141,0.027316278398093412,0.16971919492497595
21,2048,tile,1517.017,2.44,0.9982722672191544,12324156320,3466846452,3.5548607331283097,1982615228,4273565,0.2155519104083064,0.3467632906493351,3744843417,1012360,0.02703344004730118,0.08214436540025971
21,2048,simd,512.044,7.22,2.9575505230019297,1551400192,882325549,1.758308136671672,281327961,575788,0.2046678893748496,0.3711408590569518,500819373,414852,0.08283465504039118,0.26740489149043495
21,2048,optimized,151.922,24.35,9.96824686352207,678737550,341237978,1.989044578150677,68593336,222342,0.3241451910138909,0.32758169928862785,298049744,3218916,1.0799928752832615,4.742504669146418
21,4096,naive,6076.821,2.44,1.0,48937543475,13875129234,3.5269973093354756,7928986143,18125233,0.22859458539981967,0.3703748025124998,14960164157,3101366,0.020730828669074743,0.06337396157991357
21,4096,reorder,3522.121,4.2,1.7253299929218786,52996250421,8387402786,6.318553165165711,7557854442,2043109,0.02703292337367828,0.03855195384144402,14956614213,3827151,0.02558835138418904,0.07221550524041366
21,4096,unroll,1919.387,7.71,3.1660217559043593,13647890716,4912544161,2.778171608990041,1127646706,2769056,0.24556059848056702,0.2028925976637341,8479757483,2673599,0.031529191788326055,0.19589833005224952
21,4096,tile,6087.783,2.43,0.9981993444904327,49293819885,13960906024,3.5308467659806375,7929536948,17048458,0.21499941436429007,0.34585386240654903,14978333010,4459792,0.029774955577650093,0.09047365390640186
21,4096,simd,2038.493,7.26,2.9810359908030097,6201536020,3521604390,1.7609973560942773,1124365026,2235690,0.19884022966754925,0.3605058477109353,2001950910,1626255,0.0812335103661458,0.2622342262876996
21,4096,optimized,605.269,24.45,10.039868223880621,2711082856,1364082174,1.9874776664297937,273445170,1062875,0.3886976683479178,0.39204814328994453,1190900364,12988740,1.0906655495824502,4.790978619946686
