K,N,tile_config,TY,TX,time_ms,gflops,speedup,instructions,cycles,ipc,branches,branch_misses,branch_miss_rate_pct,branch_mpki,l1_loads,l1_misses,l1_miss_rate_pct,l1_mpki
9,1024,tile_32x256,32,256,37.876,4.48,1.03,688314453,175149047,3.929878379526667,105258359,998475,0.948594495948773,1.450608796093375,180951294,116585,0.06442893964604642,0.16937752722155902
9,1024,tile_64x64,64,64,38.4,4.42,1.02,688727020,176354156,3.9053631375718756,105302004,1043351,0.9908178005805094,1.5148977311794736,181126092,132399,0.07309769594101329,0.19223726695084506
9,1024,tile_64x128,64,128,38.194,4.45,1.02,688514509,174794554,3.938992910499946,105289310,979027,0.9298446347497196,1.4219409862864634,181021515,119535,0.06603358722304363,0.17361289912918887
9,1024,tile_64x256,64,256,38.02,4.47,1.03,688480767,174984667,3.934520542877051,105286189,981573,0.9322903690625557,1.425708671975146,180991945,115327,0.06371941027541309,0.16750939972154663
9,1024,tile_128x128,128,128,38.291,4.44,1.02,688494752,176047367,3.9108494704155388,105285633,1006797,0.9562529770799781,1.4623161572043473,181018522,119552,0.066044070341045,0.17364257265972596
9,2048,naive,0,0,151.983,4.47,1.0,2708331601,684276428,3.95794958028278,419765490,3333226,0.7940686119766539,1.2307303872130242,717245677,352396,0.049131840218815295,0.1301155293797423
9,2048,tile_16x16,16,16,154.881,4.39,0.98,2753131206,717038085,3.8395885289691414,420362909,4407527,1.0485052095783265,1.6009142573352533,724786747,322927,0.044554760601879496,0.11729444615506639
9,2048,tile_16x64,16,64,153.359,4.43,0.99,2747855834,711409704,3.8625503961357266,419885564,4143796,0.9868869890463774,1.5080107000984682,722262436,495847,0.0686519158806149,0.1804486952571326
9,2048,tile_16x256,16,256,150.134,4.53,1.01,2745726448,695418801,3.948306321387477,419643023,3575862,0.8521199695961583,1.3023373113533123,721467564,407377,0.056465047124419306,0.1483676570536498
9,2048,tile_32x32,32,32,153.955,4.41,0.99,2749193967,713823113,3.851365859317587,420000547,4307792,1.0256634261002522,1.5669290896563357,723003602,425962,0.05891561242871927,0.1549406862931618
9,2048,tile_32x64,32,64,153.41,4.43,0.99,2747469371,708256355,3.8792018618738693,419851215,4085270,0.9730280285124339,1.4869210347240664,722183120,468680,0.06489766750571517,0.17058606911035878
9,2048,tile_32x128,32,128,152.134,4.47,1.0,2745849198,705591330,3.8915574515350126,419614378,3932339,0.9371316156378225,1.4321030458862074,721603270,417299,0.05782942197587325,0.1519744785343452
9,2048,tile_32x256,32,256,150.712,4.51,1.0,2746068813,698104089,3.9336094090690823,419712005,3630904,0.8650941494990119,1.3222188689559253,721555527,390208,0.05407872095753484,0.14209694897401687
9,2048,tile_64x64,64,64,153.501,4.43,0.99,2747528229,760388963,3.6133194492461356,419860581,4118956,0.9810294622538046,1.4991496562345237,722195392,447555,0.061971456057144166,0.1628936857776685
9,2048,tile_64x128,64,128,162.497,4.18,1.02,2746672436,763713833,3.5964680974948373,419778442,3944351,0.9396268615433091,1.4360471049631927,721789280,399258,0.05531503598945111,0.14536061700223799
9,2048,tile_64x256,64,256,173.895,3.91,0.95,2747304450,883208866,3.110594283821422,419982409,3711842,0.8838089216255722,1.3510850608493719,721751965,416368,0.05768851630351987,0.15155509976333348
9,2048,tile_128x128,128,128,152.422,4.46,1.0,2747094910,705217911,3.895384486342123,419950521,3913774,0.9319607440134596,1.4246955886937303,721816414,398547,0.055214455125981665,0.14507944321443192
9,4096,naive,0,0,592.435,4.59,1.0,10833282871,2749113597,3.9406457713576977,1679200487,10068661,0.59961041447697,0.9294191908302475,2868155716,1366167,0.047632246477373616,0.1261083104971939
9,4096,tile_16x16,16,16,714.681,3.8,0.83,11017708713,3157545940,3.4893264967033226,1682693222,17763021,1.0556303886983862,1.612224597936691,2899590697,1307434,0.04509029503207845,0.11866659702641569
9,4096,tile_16x64,16,64,652.294,4.17,1.05,10992004920,3147298052,3.4925211207800793,1679612149,16630453,0.9901365032338785,1.5129590207643393,2888775095,1923027,0.06656894139417247,0.1749477928727128
9,4096,tile_16x256,16,256,605.487,4.49,0.97,10984605030,2796811947,3.9275450899666797,1678779159,15108790,0.8999867504311804,1.3754513665931964,2885801826,1609586,0.055776040665655884,0.14653107650243843
9,4096,tile_32x32,32,32,615.722,4.41,0.96,10996532378,2845979898,3.86388265979242,1679902718,17110787,1.0185582067734948,1.5560166070380845,2891544961,1788254,0.06184423981363781,0.16261980945717358
9,4096,tile_32x64,32,64,614.03,4.43,0.96,10989688087,2829983627,3.8833044764467113,1679250892,16519138,0.9837206625107453,1.5031489400996683,2888239426,1817609,0.06293138247604546,0.16539222820619442
9,4096,tile_32x128,32,128,611.434,4.45,0.96,10986099496,2822860630,3.891832058318798,1678911954,16119844,0.9601363526892847,1.4672945576243122,2886567413,1632798,0.056565386023776885,0.1486239953128493
9,4096,tile_32x256,32,256,607.456,4.47,0.97,10982575456,2799839707,3.922572934636933,1678463260,15182555,0.9045509283295246,1.3824220976970814,2885421850,1507766,0.05225461226752684,0.13728710592889914
9,4096,tile_64x64,64,64,614.358,4.42,0.96,10989707357,2837980822,3.8723684359696495,1679267721,16635855,0.990661274075666,1.5137668783694802,2888256458,1781390,0.06167700222969605,0.16209621804581778
9,4096,tile_64x128,64,128,611.966,4.44,0.97,10985211539,2825711705,3.887591051685154,1678786711,16136840,0.9612203798294184,1.468960332963143,2886417048,1560928,0.05407839456469286,0.14209357684723234
9,4096,tile_64x256,64,256,607.961,4.47,0.97,10983684878,2809890271,3.9089372960073145,1678629778,15415588,0.9183435324474507,1.4034987503034588,2885628671,1487465,0.051547346162336485,0.13542495223796425
9,4096,tile_128x128,128,128,613.306,4.43,0.96,10985936941,2894801203,3.795057473934593,1678872322,16245873,0.9676657829850148,1.4787881167758834,2886578280,1644317,0.05696422686309412,0.1496747167611473
